"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CLEC11A",5.50119966526753e-26,-0.30555888059962,0.008,0.12,1.12395010361081e-21,"B_Cells","CLEC11A"
"MARCH1.1",5.80263937823313e-26,0.358309643484024,0.158,0.067,1.18553725136681e-21,"B_Cells","MARCH1"
"TLN1",6.24635606135569e-26,-0.373620271818236,0.123,0.274,1.27619300689558e-21,"B_Cells","TLN1"
"PEF1",6.25754913951464e-26,-0.373066347412755,0.1,0.241,1.27847986469424e-21,"B_Cells","PEF1"
"PSME2",6.33828863319848e-26,-0.449411630804357,0.296,0.421,1.29497575064878e-21,"B_Cells","PSME2"
"CAPN2.1",6.35984238149672e-26,-0.484401054851509,0.268,0.388,1.2993793969636e-21,"B_Cells","CAPN2"
"LDOC1.1",6.56509572146979e-26,-0.306330684567545,0.006,0.119,1.34131470685349e-21,"B_Cells","LDOC1"
"CD164",7.23948031204579e-26,-0.424823645490123,0.439,0.527,1.47909822255407e-21,"B_Cells","CD164"
"ZNF385A",7.88047338812913e-26,-0.327885283998457,0.015,0.132,1.61005951792866e-21,"B_Cells","ZNF385A"
"MRPS18C",8.46906454811451e-26,-0.377793733826743,0.147,0.292,1.73031457782528e-21,"B_Cells","MRPS18C"
"ATP6V1F.1",8.4876185460459e-26,-0.432916268388393,0.337,0.455,1.73410534514264e-21,"B_Cells","ATP6V1F"
"UPP1.1",8.62271424815865e-26,-0.380996911172404,0.042,0.169,1.76170674804129e-21,"B_Cells","UPP1"
"GINM1",9.07767450311182e-26,-0.367586718819356,0.143,0.291,1.85465967773078e-21,"B_Cells","GINM1"
"CCT4",9.32527319795658e-26,-0.365502567297554,0.265,0.421,1.90524656707451e-21,"B_Cells","CCT4"
"LAMTOR1.1",9.53666909892639e-26,-0.421468296528078,0.356,0.465,1.94843686360165e-21,"B_Cells","LAMTOR1"
"OLFM1.1",1.00528165010562e-25,-0.324832653287886,0.002,0.111,2.0538909393308e-21,"B_Cells","OLFM1"
"CCSER2",1.08314596588624e-25,-0.323062544626151,0.048,0.182,2.21297552290217e-21,"B_Cells","CCSER2"
"RAP1B",1.13360029352838e-25,-0.433668634522638,0.237,0.37,2.31605875970783e-21,"B_Cells","RAP1B"
"EMC7",1.22097247602093e-25,-0.461063595966716,0.236,0.355,2.49456886575836e-21,"B_Cells","EMC7"
"ATF3",1.30296736165785e-25,-0.735815109457392,0.143,0.271,2.66209261660316e-21,"B_Cells","ATF3"
"NOTCH3.1",1.4028201133805e-25,-0.38840027043834,0.011,0.124,2.8661017736477e-21,"B_Cells","NOTCH3"
"PRRX1.1",1.40501263685028e-25,-0.284053762412219,0.002,0.11,2.87058131834881e-21,"B_Cells","PRRX1"
"NHP2",1.44748165031684e-25,-0.41381613065794,0.249,0.383,2.95734975976233e-21,"B_Cells","NHP2"
"VWF.1",1.45181333171971e-25,-0.878376104898137,0.05,0.176,2.96619981803654e-21,"B_Cells","VWF"
"CPNE8",1.58527813769482e-25,-0.259463085628714,0.003,0.112,3.23888176312429e-21,"B_Cells","CPNE8"
"NPR1.1",1.71083668754518e-25,-0.266042713230943,0.001,0.108,3.49541043632356e-21,"B_Cells","NPR1"
"ZEB2.1",1.72072652569654e-25,-0.34369255863168,0.06,0.201,3.51561636465059e-21,"B_Cells","ZEB2"
"MPZL2.1",1.76673712071128e-25,-0.48507757463057,0.008,0.119,3.60962061132521e-21,"B_Cells","MPZL2"
"ANGPTL1.1",1.82475716285772e-25,-0.326789332157311,0.001,0.108,3.7281613594346e-21,"B_Cells","ANGPTL1"
"LIMCH1.1",2.35591294108408e-25,-0.291753504539559,0.005,0.115,4.81336572992889e-21,"B_Cells","LIMCH1"
"SP110",2.36412288077007e-25,0.334917534825703,0.191,0.09,4.83013945770132e-21,"B_Cells","SP110"
