"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BTAF1",0.337787179303378,-0.347878757595909,0.093,0.117,1
"EPRS",0.340089148204725,-0.340141597290241,0.169,0.194,1
"DDX6",0.3408648933166,-0.326839385533879,0.246,0.25,1
"TRPC4AP",0.3408915095948,-0.285356581746643,0.085,0.105,1
"DCP1A",0.342898649464157,-0.33199743572541,0.136,0.157,1
"CAPNS1",0.343459453546777,-0.306574087768953,0.432,0.446,1
"TBC1D2B",0.346471540347492,-0.27602003122571,0.093,0.116,1
"RNF167",0.348162218944076,-0.292152298712049,0.119,0.142,1
"HNRNPA3",0.348445939779737,-0.282137567503349,0.356,0.364,1
"CNOT1",0.349273358854236,-0.269338831000609,0.093,0.117,1
"CTC1",0.349300445672441,-0.29146369473872,0.093,0.117,1
"SRSF2",0.350032513136241,-0.278097357121248,0.347,0.358,1
"CCDC84",0.351873080984074,-0.396434335698921,0.136,0.157,1
"EIF3K",0.352212052240721,-0.313977513662866,0.339,0.337,1
"FKBP3",0.353438330629457,-0.33933564532791,0.11,0.13,1
"EPC1",0.356434422072736,-0.337260758307078,0.127,0.148,1
"KIAA2026",0.356814792209938,-0.408852346856259,0.229,0.247,1
"QRICH1",0.35808771239925,-0.307358360460762,0.093,0.114,1
"SMC1A",0.359436698288428,-0.316949828613266,0.11,0.135,1
"AUP1",0.359885295025422,-0.404369473081228,0.178,0.195,1
"ANKLE2",0.360164949909299,-0.280265254484499,0.085,0.104,1
"ATP6V0E1",0.364644139868153,-0.290133580242069,0.322,0.328,1
"LUC7L",0.366401129949866,-0.308541596331705,0.093,0.113,1
"AGFG1",0.369552594914462,-0.302757237377372,0.11,0.131,1
"AGTPBP1",0.371224770005188,-0.281348748131989,0.085,0.107,1
"LRRC37BP1",0.371988421948492,-0.313952530114148,0.085,0.105,1
"HSD17B11",0.372767677004553,-0.342516442296219,0.161,0.176,1
"EIF3D",0.373451998201826,-0.333547111417896,0.212,0.227,1
