"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADM.2",1.6852738202522e-43,0.521092412499153,0.291,0.089,3.44318294215727e-39,"Monocyte","ADM"
"ZNF267",2.3340435075514e-43,0.325443547517555,0.186,0.04,4.76868429027826e-39,"Monocyte","ZNF267"
"BGN.5",3.16400869813897e-43,-2.65023485055645,0.105,0.418,6.46438617116772e-39,"Monocyte","BGN"
"GNAI2.5",3.37948659127018e-43,0.592602469241494,0.674,0.332,6.9046290546241e-39,"Monocyte","GNAI2"
"IGFBP6.5",3.47389441186923e-43,-2.88846304866865,0.261,0.531,7.09751367289002e-39,"Monocyte","IGFBP6"
"IDH2.1",4.07697330912665e-43,0.510509483945294,0.462,0.183,8.32966416787666e-39,"Monocyte","IDH2"
"LRCH4.1",5.9035748036846e-43,0.395366618633855,0.329,0.104,1.2061593681408e-38,"Monocyte","LRCH4"
"EPAS1.4",6.07266714614228e-43,-1.40199800258004,0.079,0.405,1.24070662462833e-38,"Monocyte","EPAS1"
"SH3KBP1.2",7.35533577036905e-43,0.487873728540179,0.49,0.196,1.5027686512441e-38,"Monocyte","SH3KBP1"
"IL16.4",7.36638584556044e-43,0.385444509288754,0.331,0.104,1.50502629210645e-38,"Monocyte","IL16"
