"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NCF4",5.55234006476769e-131,0.827588417035469,0.469,0.108,1.13439859863269e-126,"Mono","NCF4"
"PPT1",5.94654276837803e-131,1.14611175160204,0.816,0.369,1.21493815300732e-126,"Mono","PPT1"
"EVI2B",1.01470501411635e-130,0.92603706524678,0.591,0.165,2.07314381434111e-126,"Mono","EVI2B"
"RHOG",1.86510506938446e-130,0.997106169428862,0.721,0.258,3.81059616725939e-126,"Mono","RHOG"
"CYTH4",2.88795988422918e-130,0.795048382763066,0.387,0.076,5.90039083946865e-126,"Mono","CYTH4"
"CARD16",2.94974495491365e-130,0.92289960191738,0.564,0.153,6.02662391738408e-126,"Mono","CARD16"
"GPR34",3.33877377509024e-130,0.997694910665676,0.391,0.076,6.82144869988686e-126,"Mono","GPR34"
"OAZ1",3.57601672560658e-130,0.901179251213375,0.995,0.905,7.3061597720868e-126,"Mono","OAZ1"
"TMSB4X",4.01193042604041e-130,0.910389276204898,1,0.994,8.19677505344317e-126,"Mono","TMSB4X"
"NLRC4",5.93276081458702e-130,0.331497887181011,0.133,0.007,1.21212236202827e-125,"Mono","NLRC4"
"TCOF1",2.1972429763427e-129,1.42241135781895,0.578,0.175,4.48918712496577e-125,"Mono","TCOF1"
"SLC7A7",2.6735491330071e-129,0.700115523091046,0.358,0.067,5.4623282336468e-125,"Mono","SLC7A7"
"SPARCL1",8.47783988809757e-129,-3.5564471991081,0.157,0.663,1.73210746753722e-124,"Mono","SPARCL1"
"ATP6V0B",1.54542968454619e-127,1.06975138632921,0.892,0.451,3.15746738849632e-123,"Mono","ATP6V0B"
"CNPY3",9.06811211295601e-127,0.93600391042646,0.631,0.2,1.85270598579804e-122,"Mono","CNPY3"
"GMFG",1.15780179454665e-126,1.0335898592113,0.81,0.316,2.36550484643826e-122,"Mono","GMFG"
"S100A8",1.26188827668465e-125,4.35031183328172,0.303,0.052,2.57816393809442e-121,"Mono","S100A8"
"LINC00936",4.6793941480752e-125,0.699426654481079,0.308,0.051,9.56047018393245e-121,"Mono","LINC00936"
"RPS6KA1",4.05054314572458e-124,0.566695802601588,0.296,0.046,8.27566470102989e-120,"Mono","RPS6KA1"
"PSAP",4.6483446709253e-124,1.00034123525598,0.995,0.802,9.49703299716748e-120,"Mono","PSAP"
"CX3CR1",2.16447220824556e-123,0.41157170307774,0.146,0.01,4.4222331686665e-119,"Mono","CX3CR1"
"IL10",2.25772630474525e-123,0.927290634862273,0.204,0.022,4.61276061322501e-119,"Mono","IL10"
"STK17B",1.83060886759634e-121,0.843055126925721,0.633,0.192,3.74011697738608e-117,"Mono","STK17B"
"PLCB2",2.31171437510514e-121,0.490518124003107,0.223,0.026,4.72306363977732e-117,"Mono","PLCB2"
"AREG",1.67465297033642e-120,2.01249194303551,0.396,0.09,3.42148348369434e-116,"Mono","AREG"
"CD4",3.06303075018876e-119,0.703152925771912,0.389,0.08,6.25807812571066e-115,"Mono","CD4"
"GCA",7.46697520365988e-119,0.90286505829871,0.544,0.155,1.52557770385975e-114,"Mono","GCA"
"HCAR2",3.69991627704749e-118,0.296843075582719,0.117,0.006,7.55929894563572e-114,"Mono","HCAR2"
"FBP1",2.0517484473659e-117,0.576316477045356,0.245,0.034,4.19192725281327e-113,"Mono","FBP1"
"ARHGAP4",8.98510805239298e-117,0.60214878258421,0.389,0.08,1.83574742618441e-112,"Mono","ARHGAP4"
